node;pid;tid;core_id;sample_count;
LAPTOP-KCN8A1JH;6097;6114;6;18;
LAPTOP-KCN8A1JH;6097;6114;7;40;
LAPTOP-KCN8A1JH;6097;6114;8;25;
LAPTOP-KCN8A1JH;6097;6114;9;52;
LAPTOP-KCN8A1JH;6097;6114;10;22;
LAPTOP-KCN8A1JH;6097;6114;11;45;
LAPTOP-KCN8A1JH;6097;6114;12;25;
LAPTOP-KCN8A1JH;6097;6113;1;44;
LAPTOP-KCN8A1JH;6097;6113;2;24;
LAPTOP-KCN8A1JH;6097;6113;3;38;
LAPTOP-KCN8A1JH;6097;6113;4;27;
LAPTOP-KCN8A1JH;6097;6113;5;37;
LAPTOP-KCN8A1JH;6097;6113;6;16;
LAPTOP-KCN8A1JH;6097;6113;7;32;
LAPTOP-KCN8A1JH;6097;6113;8;18;
LAPTOP-KCN8A1JH;6097;6113;9;42;
LAPTOP-KCN8A1JH;6097;6113;10;24;
LAPTOP-KCN8A1JH;6097;6113;11;38;
LAPTOP-KCN8A1JH;6097;6113;12;24;
LAPTOP-KCN8A1JH;6097;6097;1;234;
LAPTOP-KCN8A1JH;6097;6097;2;504;
LAPTOP-KCN8A1JH;6097;6097;3;185;
LAPTOP-KCN8A1JH;6097;6097;4;1551;
LAPTOP-KCN8A1JH;6097;6097;5;222;
LAPTOP-KCN8A1JH;6097;6097;6;435;
LAPTOP-KCN8A1JH;6097;6097;7;197;
LAPTOP-KCN8A1JH;6097;6097;8;189;
LAPTOP-KCN8A1JH;6097;6097;9;195;
LAPTOP-KCN8A1JH;6097;6097;10;318;
LAPTOP-KCN8A1JH;6097;6097;11;214;
LAPTOP-KCN8A1JH;6097;6097;12;145;
LAPTOP-KCN8A1JH;6097;6112;1;28;
LAPTOP-KCN8A1JH;6097;6112;2;18;
LAPTOP-KCN8A1JH;6097;6112;3;33;
LAPTOP-KCN8A1JH;6097;6112;4;18;
LAPTOP-KCN8A1JH;6097;6112;5;40;
LAPTOP-KCN8A1JH;6097;6112;6;24;
LAPTOP-KCN8A1JH;6097;6112;7;34;
LAPTOP-KCN8A1JH;6097;6112;8;19;
LAPTOP-KCN8A1JH;6097;6112;9;40;
LAPTOP-KCN8A1JH;6097;6112;10;21;
